,,,,,,,,,Cases_ and current rate_ for June 2010 by District Health Board_,,,,,,,,,,,,,,,
Disease,,Northland,Waitemata,Auckland,ManukauCounties,Waikato,,Lakes,,PlentyofBay,Tairawhiti,Taranaki,BayHawke's,Whanganui,MidCentral,ValleyHutt,CoastandCapital,Wairarapa,MarlboroughNelson,CoastWest,Canterbury,CanterburySouth,Otago,Southland
Campylobacteriosis,Cases,11,56,46,37,38,,14,,23,5,12,17,5,19,24,41,4,15,2,42,12,17,12
,Rate,125.2,175.1,173.2,136.6,189.4,,204.3,,165.6,103.9,258.7,232,215.4,157.9,279.6,246.1,217.7,134.5,171.8,141,198,147,156.5
Cryptosporidiosis,Cases,1,4,3,3,2,,0,,0,0,0,4,0,1,2,4,0,3,0,5,1,5,0
,Rate,25.7,16.1,14.9,9.1,33.6,,11.8,,8.2,13,21.2,22.7,14.3,15.1,10.5,32.3,22.5,30.7,67.5,43,52.2,21.8,25
Dengue fever,Cases,0,1,0,2,1,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Rate,0.6,1.5,2.7,1,1.7,,1,,0.5,0,0,0.6,0,0.6,0.7,2.4,0,0,0,0.8,0,0,0
Gastroenteritis,Cases,1,1,4,1,1,,1,,1,0,3,0,0,5,3,4,2,0,0,2,0,1,1
,Rate,3.2,14.4,23.9,6.9,7.5,,6.9,,3.4,0,5.5,7.8,14.3,36.2,28.7,28.1,7.5,5.8,273.1,9.8,3.6,10.1,2.7
Giardiasis,Cases,2,23,22,12,13,,1,,3,3,4,11,2,0,3,22,1,2,0,23,4,7,4
,Rate,36,41.4,57.9,39.4,48.6,,53,,31.8,21.6,42.5,57.2,52.3,14.5,34.3,58.7,50,36.5,33.8,45.4,30.6,30.8,24.1
Haemophilus,Cases,0,0,0,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
influenzae type b,Rate,0,0.4,0,0.6,1.1,,0,,0,0,0,0,1.6,0.6,0,0,0,0,0,0.2,0,0,0
Hazardous substances,Cases,0,1,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
injury,Rate,0.6,0.9,0.7,0,0,,0,,0,0,0,3.2,0,0.6,0,0.3,0,0,0,0,0,0,0
Hepatitis A,Cases,0,0,1,4,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,Rate,0.6,0.8,2.7,2.3,1.4,,1,,1,0,0,1.3,0,3,1.4,0.7,0,0,0,1.4,0,1.6,0.9
Hepatitis B,Cases,0,0,3,1,1,,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
,Rate,1.9,0.6,2.3,1.9,0.6,,2,,1.4,4.3,0,1.3,1.6,0.6,0,1.4,7.5,2.2,6.1,1,0,1.6,0
Hepatitis C,Cases,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,0,0.2,0.4,0,,0,,0,0,3.7,0,0,0.6,1.4,0,5,0,0,0.6,1.8,0.5,0
",QYDVLYH",Cases,0,6,4,11,3,,0,,5,0,1,1,2,1,1,3,2,1,0,4,0,4,2
SQHXPRFRFFDO,,,,,,,,,,,,,,,,,,,,,,,,
GLVHDVH_,Rate,16.1,11.2,11.3,21.4,15.8,,24.6,,22.1,19.5,16.6,18.2,20.6,13.9,17.5,10.1,25,8,0,10,3.6,17,17.9
Lead absorption,Cases,1,2,0,0,1,,0,,0,0,1,0,1,0,3,1,0,1,0,6,0,1,1
,Rate,3.9,2.8,3.2,3.1,4.2,,5.9,,1.4,10.8,2.8,3.2,9.5,7.8,11.9,3.8,5,8.8,0,7,16.2,10.1,4.5
Legionellosis,Cases,2,7,4,2,0,,0,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2
,Rate,7.7,3.6,2.7,1.9,0.6,,0,,3.9,2.2,1.8,2.6,0,1.2,1.4,0.3,0,0.7,12.3,4.2,3.6,0.5,2.7
Leptospirosis,Cases,0,0,0,0,0,,0,,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
,Rate,1.9,0.2,0.2,0.2,6.4,,2,,2.4,0,3.7,2.6,7.9,7.8,0,0.3,0,2.2,18.4,2,1.8,0,4.5
Listeriosis,Cases,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.6,1.1,0.8,1.4,,0,,1.4,6.5,0.9,0,0,2.4,0.7,0,0,0,0,0,0,1.6,0
Malaria,Cases,0,0,0,2,0,,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
,Rate,0,1.1,2,2.9,0.8,,0,,1.4,0,0.9,0.6,0,0,0,1,2.5,1.5,0,1.2,0,0,0.9
Measles,Cases,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
,Rate,23.1,2.3,2,0.6,0,,1,,1,0,0,0.6,0,1.2,0,0.7,0,1.5,24.5,32.7,1.8,2.1,1.8
