,,,,,,,,,Cases_ and current rate_ for June 2011 by District Health Board_,,,,,,,,,,,,,,,
Disease,,Northland,Waitemata,,Auckland,ManukauCounties,,Waikato,Lakes,PlentyofBay,Tairawhiti,Taranaki,BayHawke's,Whanganui,MidCentral,ValleyHutt,CoastandCapital,Wairarapa,MarlboroughNelson,,CoastWest,Canterbury,CanterburySouth,Southern
Campylobacteriosis,Cases,11,45,,38,32,,25,9,19,4,13,24,4,24,17,46,4,15,,1,58,13,21
,Rate,123.3,135.7,,124.8,97.4,,181.4,163.7,135.7,77.4,178.5,199,106,132.2,158.6,175.1,166.3,162.9,,146.7,176.7,218.4,200.8
Cryptosporidiosis,Cases,4,1,,1,2,,4,0,2,0,2,1,0,1,1,3,0,0,,1,1,0,0
,Rate,26.7,8.6,,8.4,5.7,,38.4,13.6,9,12.9,29.3,23.2,6.3,10.8,13.9,9.3,19.9,7.2,,21.4,18.5,84.1,19.8
Dengue fever,Cases,0,0,,2,0,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,Rate,1.3,0.9,,2,0.8,,1.9,1.9,1.4,2.2,0.9,0,1.6,0,0,1.7,0,0,,0,0.4,1.8,1.6
Gastroenteritis,Cases,0,5,,1,2,,2,1,1,1,0,0,0,1,4,9,0,0,,0,4,0,2
,Rate,0,11.4,,14,8.4,,4.9,9.7,3.8,2.2,10.1,0.6,26.9,42.5,36.9,32.3,9.9,6.5,,39.7,22.2,7.2,3.6
Giardiasis,Cases,4,17,,11,8,,15,8,8,3,1,5,1,1,8,13,0,3,,1,13,3,19
,Rate,32.4,39.8,,66,43.2,,48,44.8,48.1,28,17.4,57.3,6.3,19.1,49.4,61.1,19.9,34.8,,27.5,48.6,50.1,43.9
Haemophilus,Cases,0,0,,0,0,,0,0,1,0,1,0,0,0,0,1,0,0,,0,0,0,0
influenzae type b,,,,,,,,,,,,,,,,,,,,,,,,
,Rate,0,0.2,,0.2,0,,0,0,0.5,0,1.8,1.3,0,0,0,0.3,0,0,,0,0,0,0
Hepatitis A,Cases,0,0,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,Rate,0,0.2,,1.1,1,,0.8,0,0,4.3,0,1.9,1.6,0,0,1,0,0,,0,1,0,0
Hepatitis B,Cases,0,1,,2,0,,0,2,0,3,0,0,0,0,1,0,0,0,,0,1,1,0
,Rate,1.9,0.7,,2.2,1.6,,0.5,5.8,1,19.4,0,1.3,1.6,0,2.1,0,0,0,,0,1.6,3.6,1
Hepatitis C,Cases,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0
,Rate,0,0.6,,0.2,0.4,,0,0,0,0,0,1.3,0,1.2,0.7,1.4,0,0,,0,1.4,1.8,1
Invasive pneumococcal,Cases,3,6,,5,8,,10,4,5,0,0,3,2,2,1,1,1,3,,0,11,0,2
disease_,,,,,,,,,,,,,,,,,,,,,,,,
,Rate,13.3,10.4,,9.3,17.1,,14,23.4,12.9,6.5,10.1,18,14.2,7.8,15.3,5.1,7.4,7.2,,3.1,11.4,7.2,14.5
Lead absorption,Cases,0,1,,1,1,,2,0,0,1,1,0,0,1,1,0,0,0,,0,1,1,1
